,id,symbol_id,candle_type,open_price,high_price,low_price,close_price,volume,vtt,atp,total_buy_quantity,total_sell_quantity,lower_circuit,upper_circuit,bids,asks,date,created_at,modified_at,stoch,stoch_signal
28,707145,585,M5,214.05,214.5,213.6,213.8,277067,,,,,,,{},{},2019-10-29 11:35:00.000000,2019-11-01 16:56:54.391342,2019-11-01 10:03:16.764496,70.32967032967044,77.4775137143559
29,707146,585,M5,213.7,214.6,213.7,214.3,234727,,,,,,,{},{},2019-10-29 11:40:00.000000,2019-11-01 16:56:54.395853,2019-11-01 10:03:16.764553,75.00000000000016,73.60989010989026
30,707147,585,M5,214.4,215.0,214.05,214.35,278902,,,,,,,{},{},2019-10-29 11:45:00.000000,2019-11-01 16:56:54.400699,2019-11-01 10:03:16.764610,75.56818181818178,73.63261738261748
31,707148,585,M5,214.5,215.0,214.35,214.7,191149,,,,,,,{},{},2019-10-29 11:50:00.000000,2019-11-01 16:56:54.405186,2019-11-01 10:03:16.764667,79.54545454545445,76.7045454545455
32,707149,585,M5,214.5,214.95,213.5,213.5,305937,,,,,,,{},{},2019-10-29 11:55:00.000000,2019-11-01 16:56:54.409565,2019-11-01 10:03:16.764724,65.90909090909095,73.67424242424242
33,707150,585,M5,213.5,214.25,213.15,214.15,325474,,,,,,,{},{},2019-10-29 12:00:00.000000,2019-11-01 16:56:54.413857,2019-11-01 10:03:16.764781,73.29545454545465,72.9166666666667
34,707151,585,M5,214.15,214.45,214.05,214.1,102239,,,,,,,{},{},2019-10-29 12:05:00.000000,2019-11-01 16:56:54.419546,2019-11-01 10:03:16.764842,46.66666666666654,61.95707070707073
35,707152,585,M5,214.2,214.5,214.05,214.4,211758,,,,,,,{},{},2019-10-29 12:10:00.000000,2019-11-01 16:56:54.423631,2019-11-01 10:03:16.764899,46.15384615384638,55.3719891219892
36,707153,585,M5,214.25,222.65,214.25,221.4,2162458,,,,,,,{},{},2019-10-29 12:15:00.000000,2019-11-01 16:56:54.428129,2019-11-01 10:03:16.764960,87.56218905472639,60.12756729174645
37,707154,585,M5,221.35,224.5,220.8,224.0,1823387,,,,,,,{},{},2019-10-29 12:20:00.000000,2019-11-01 16:56:54.432243,2019-11-01 10:03:16.765017,95.59471365638767,76.43691628832015
38,707155,585,M5,224.1,224.55,222.35,223.2,1247313,,,,,,,{},{},2019-10-29 12:25:00.000000,2019-11-01 16:56:54.437520,2019-11-01 10:03:16.765074,88.15789473684191,90.43826581598533
39,707156,585,M5,223.25,223.3,222.55,222.75,522448,,,,,,,{},{},2019-10-29 12:30:00.000000,2019-11-01 16:56:54.441837,2019-11-01 10:03:16.765132,84.21052631578938,89.32104490300632
40,707157,585,M5,223.0,224.0,222.85,223.4,508064,,,,,,,{},{},2019-10-29 12:35:00.000000,2019-11-01 16:56:54.446209,2019-11-01 10:03:16.765192,89.91228070175434,87.4269005847952
41,707158,585,M5,223.5,230.15,223.35,228.2,3001942,,,,,,,{},{},2019-10-29 12:40:00.000000,2019-11-01 16:56:54.451624,2019-11-01 10:03:16.765250,88.52941176470577,87.55073959408315
